Index,FEN,Moves
12430,2r3k1/5p2/p3pQN1/1p1pPn2/q1r5/P2R3P/8/6RK b - - 0 45,c4c1 f6h8
12431,1k2r3/1p3p2/R2p4/3N4/4r3/6Pp/5P1P/1R4K1 w - - 1 32,a6b6 e4e1 b1e1 e8e1
12432,r4rk1/1b4pp/8/3pP3/p1pP3P/PpP1Qq2/1P1K4/1BR4R w - - 0 24,c1f1 f3f1 h1f1 f8f1 b1h7 g8h7
12433,2r3k1/1p3pp1/p3pn2/P2pR3/1P1P4/2P1R1Pp/q4P1K/3Q4 w - - 2 27,e3f3 f6g4 h2h3 g4f2 f3f2 a2f2
12434,r4r2/pp3pk1/6p1/3Bbbq1/4PNp1/1Q4P1/PP3P2/2RR2K1 b - - 0 22,f5d7 d5f7 f8f7 d1d7
12435,8/6R1/3k2P1/8/3KB2r/3P4/7p/8 w - - 1 43,g7h7 h2h1q h7h4 h1h4
12436,6k1/1bp2ppp/p2p4/1p1Prr1q/8/P1N3RP/1PP2PP1/R2Q2K1 w - - 11 23,g3g7 g8g7 d1h5 f5h5
12437,8/8/3p2kp/2pP4/8/1P4PK/8/8 w - - 0 63,h3g4 h6h5 g4f4 g6f6
12438,r6r/ppkqb1p1/2p1R1p1/3n2Pn/3P2Q1/2N4P/PPPB1P2/2K1R3 b - - 6 22,a8e8 c3d5 c6d5 g4e2
12439,r7/5p1k/2R2P1p/pp1pq3/4b1P1/4Q2P/PP6/5RK1 w - - 1 29,f1f2 d5d4 c6c5 d4e3 c5e5 e3f2
12440,r4rk1/ppb2ppp/3qp3/3p3Q/5P2/6RP/PPP2P2/R1B4K b - - 2 20,d6b6 g3g7 g8g7 h5g5 g7h8 g5f6
12441,r7/2K3k1/P7/8/6p1/8/8/R7 b - - 1 55,g4g3 c7b7 a8g8 a6a7 g7h6 a1a3 h6h5 a3g3 g8g3 a7a8q
12442,1rr3k1/3N1pb1/5qp1/p2p1n1p/3N2bP/1BP5/P2Q1PP1/KR2R3 b - - 11 27,f5d4 d7f6 g7f6 c3d4
12443,3rrqk1/pb3p1p/1p2p1p1/4P3/2P2Q2/3R3R/PPB2PP1/6K1 w - - 8 27,h3h7 g8h7 d3h3 h7g8
12444,5bk1/5p1p/2p1r1p1/4Pb2/P1Q5/2N5/3q1BPP/4R1K1 w - - 1 26,h2h3 f5d3 c4b3 f8c5 b3b8 g8g7 f2c5 d2e1 g1h2 e1e5 b8e5 e6e5 c5d4 g7f6
12445,r3r3/1p4pp/p7/R7/3n4/kP6/P4PPP/2R3K1 b - - 1 28,a3b4 a5a4 b4b5 a4d4
12446,8/6N1/3k3p/2P2p2/4pb2/7P/4K1P1/8 b - - 0 47,d6c5 g7e6 c5b6 e6f4
12447,8/1p4k1/p5pb/8/P1n1P2p/1NP5/1PK5/5R2 w - - 2 31,b3c5 c4e3 c2d2 e3f1
12448,b2rk1r1/1q3pB1/p1nb3p/2p5/8/P3PN2/BPQ2PPP/R4RK1 w - - 1 19,c2e4 c6e7
12449,2k3r1/ppp2pqp/4b3/b7/2pN4/2P3P1/P1QN1P1P/R5K1 b - - 0 21,e6d5 c2f5 c8b8 f5d5
12450,2k3r1/pp1nb3/2p3r1/6Pp/1P1N2b1/q1BP1P2/P1PQ2B1/R3R1K1 w - - 1 26,f3g4 e7g5 d4f5 g5d2
12451,1rb4k/p3qpp1/1p2p2p/8/1QP1B3/P7/5PPP/3R2K1 b - - 1 24,e7b4 d1d8 b4f8 d8f8
12452,r5k1/1pb2ppp/4p2q/2Pp4/1P4NP/2P2QP1/r7/4R1RK b - - 4 34,h6d2 e1f1 a8f8 f1f2 d2f2 g4f2
12453,r1q2b1k/pp1b1N1p/6p1/4p2n/1pB4B/7P/P2Q2P1/4R1K1 b - - 1 25,h8g7 d2h6 g7g8 f7g5 c8c4 h6h7
12454,2kr3r/1ppbq3/p2p1p2/PN1Pn3/4P1n1/6Pp/1P2BR1B/2RQN1K1 b - - 0 23,g4f2 c1c7 c8b8 d1d4 d7b5 c7e7
12455,r2q2k1/ppbn1p1p/2p5/3p1N2/5PP1/1PB4P/P2P4/1B2RRK1 b - - 0 21,d7c5 e1e7 d8e7 f5e7
12456,r5k1/1Q3ppp/2rqp3/p2p4/3P4/P3P3/NP2BPPP/2R2nK1 b - - 0 24,a8c8 b7c8 c6c8 c1c8
12457,3q1r2/7Q/1pr1kp2/p3p3/8/6R1/P4PPP/3R2K1 w - - 6 32,d1d8 c6c1 d8d1 c1d1
12458,r4r1k/6p1/pp3q1p/3pNP2/1p1Pb1P1/1P5P/1P6/R2Q1RK1 b - - 0 25,f6h4 e5g6 h8g8 g6h4
12459,8/8/1b6/1P4p1/P3pkP1/8/2K5/7B w - - 10 58,c2b3 e4e3 b3c2 f4g3 c2d3 g3f2
12460,8/5pkp/6p1/8/1Q1b1q2/P2B4/1PPn3P/K6R w - - 0 32,h1f1 d2f1 c2c3 f4c1
12461,Q1kr2r1/1pq2p2/2p1p3/5p2/3PBn1p/5P2/P4P1P/1RR4K b - - 1 24,c7b8 c1c6 c8d7 b1b7
12462,3r1rk1/6pp/p1p1p3/2qp4/4n3/2PN4/PP3PPP/R2Q1R1K b - - 5 20,e4f2 f1f2 c5f2 d3f2
12463,3R4/8/8/8/3P2p1/5k2/r7/4K3 w - - 0 51,d4d5 a2a1 e1d2 g4g3
12464,4rr1k/5pRp/p7/2Q5/3p3P/4p1R1/PPP2qPK/8 b - - 2 32,e3e2 g7h7 h8h7 c5h5
12465,5bk1/3R3p/4npp1/8/6N1/7P/5KP1/2r5 b - - 1 42,f6f5 g4f6 g8h8 d7h7
12466,4r1k1/p1Qn1ppp/8/8/3P1P2/2B5/PPP1rqPP/5R1K w - - 1 20,f1f2 e2e1 c3e1 e8e1 f2f1 e1f1
12467,r2q2k1/1pp2ppp/1pn1r3/3p4/1P6/P3PN1P/2Q2PP1/R4RK1 b - - 1 20,c6b4 a3b4 a8a1 f1a1
12468,8/8/5k2/5P1p/pP2PP1P/8/2P2K2/8 w - - 0 45,f2e3 a4a3 e3d4 a3a2
12469,1k2r3/pp2Np1p/8/8/2RP4/5bP1/P4P1P/5K2 w - - 3 35,e7f5 f3e2 f1g2 e2c4
12470,1r3r1k/4Npbp/p3b1p1/q3n1P1/2p1Q2P/2B5/PPB2P2/1K1R3R b - - 3 22,a5c5 h4h5 c5e7 h5h6
12471,5rk1/5pnp/3N2p1/1q1P1b2/pp6/1P3NPP/P4P1K/2rQR3 w - - 0 28,d1c1 b5b6 c1d2 b6d6
12472,2n5/2Pk4/5ppp/3Kp3/6P1/7P/2R5/8 w - - 6 50,c2c6 c8e7 d5c5 e7c6 c7c8q d7c8
12473,8/2k5/2P2pp1/p2Pp2p/2KpP1PP/5P2/8/8 b - - 0 40,c7d6 g4h5 g6h5 c4b5 d4d3 b5b6 d3d2 c6c7 d2d1q c7c8q
12474,6N1/1pp3R1/p3k3/4pb2/3pK3/3P2N1/PP3r2/8 w - - 1 34,g3f5 f2f4
12475,r5k1/4b2p/2q1ppBB/3p4/1p1P4/2P3Q1/5PPP/rR4K1 b - - 0 31,g8h8 g6h7 a1b1 h7b1
12476,8/2r2p2/p4K2/6PP/1P6/P7/2pk4/7R b - - 2 44,c2c1q h1c1 c7c1 f6f7 c1h1 h5h6 d2e3 f7g7 e3f4 g5g6 f4g5 h6h7 h1h4 g7f7 h4h6 a3a4
12477,2k5/2p2p2/1p2p1p1/r5r1/8/5B1P/6PK/3R4 b - - 1 43,c8b8 d1d8 b8a7 d8a8
12478,r7/p1p2pk1/1p1q1p2/5Q1p/3P2P1/2P5/PP4P1/5RK1 b - - 0 25,h5g4 f5g4 g7f8 g4h4 f8e7 h4e4 d6e6 e4a8
12479,8/p4pk1/r4n1p/8/P2Q1R2/6P1/q5PK/8 b - - 7 37,g7g6 d4d3 g6g7 d3a6
12480,4R1k1/1pp3p1/5p1p/p2N1P2/2q5/r7/6PP/3R3K b - - 1 27,g8h7 d5f6 g7f6 d1d7 c4f7 d7f7
12481,4r1k1/p4ppp/1p6/2n5/2P3Q1/2q2N1P/P1P3P1/2R4K b - - 1 22,e8e4 g4c8 e4e8 c8e8
12482,1r3rk1/2p2pp1/p2p1b1p/1B6/2P1P3/6P1/1P5P/1K1R2NR w - - 0 23,b5a6 b8b2
12483,1rq2rk1/5pb1/R2p2bp/3Pp3/4P2p/Q1N1NB2/1n2KPP1/1R6 b - - 3 29,b2c4 b1b8 c4a3 b8c8
12484,8/2q2r1k/p2R2pp/3P1r2/8/7P/P2Q2P1/4R2K w - - 1 33,d6a6 f5f1 e1f1 f7f1
12485,4Q1k1/2p3p1/2pp3p/5r2/6R1/7P/PPP2q2/7K b - - 1 28,g8h7 e8g6 h7h8 g6g7
12486,r1b3k1/1p3ppp/4p3/pP4Q1/rq6/3B2P1/5PP1/2R1R1K1 b - - 2 26,h7h6 g5d8 b4f8 d3h7 g8h7 d8f8
12487,8/5ppk/2p2q1p/1pQ5/3pPn2/1b1P3P/6PK/5RN1 w - - 0 29,g2g3 f4d3 f1f6 d3c5
12488,7k/ppp4p/4b3/4P3/7Q/PP4P1/1Bq2K2/8 w - - 0 30,f2g1 c2b1 g1f2 b1b2
12489,6k1/p3pr1p/bp1pN1p1/3P2Q1/1q3PP1/8/P1R5/2K5 b - - 13 33,a6d3 c2c8 f7f8 c8f8
12490,k1r1r3/6pp/1Nnpqp2/1Q6/B7/8/PPP3PP/2K5 b - - 3 28,a8b8 b6c8 b8c8 b5c6
12491,4r1k1/pp3p2/2p3pp/3p4/3P4/2P3bP/PPB1qP2/2Q2RK1 w - - 0 25,f2g3 e8e3 c1e3 e2e3
12492,r3k2r/b1pp1pp1/b1p4p/P1q1N3/6P1/R1N5/3B1PP1/3Q1RK1 w kq - 3 20,f1e1 c5f2 g1h2 f2h4
12493,r4rk1/1pp3pp/p2q4/P4p2/2P4b/3P1P1P/3B2R1/1R1Q3K b - - 0 25,d6d3 g2g7 g8g7 d2h6 g7h6 d1d3
12494,6r1/p4p1k/2p2B1P/2p1PP1Q/2bq4/2p5/P1P2RP1/6K1 w - - 3 31,f6g7 g8b8 g7f6 b8b1 g1h2 d4f2 h5g5 f2g1 h2g3 g1e1
12495,1r4k1/1q3p1p/3pp1p1/5bP1/p4Q2/P1r2N2/BP1R1P1P/2K1R3 w - - 0 26,b2c3 b7b1 a2b1 b8b1
12496,5b1k/p1p2Qp1/1p6/8/1PP5/P2Pp1P1/8/3q2NK b - - 7 37,e3e2 f7f8 h8h7 f8f5 g7g6 f5f7
12497,8/1p3k2/6p1/3p3p/1p1B2P1/3P4/3K4/8 w - - 0 35,g4g5 f7e6 d2e3 e6f5
12498,2b2rk1/pp2qpp1/1n2p2p/4N3/1bPQB3/1P5P/PB1R1PP1/6K1 b - - 2 23,b4d2 e5c6 e7g5 c6e7 g8h8 e7g6 g5g6 e4g6
12499,1r4k1/5ppp/5n2/8/5P2/4P1P1/1Q5P/3R2K1 b - - 0 38,b8b2 d1d8 f6e8 d8e8
12500,2r2k2/5ppb/1N5p/4p3/4P3/1Pb2B1P/3pKPP1/3R4 b - - 0 39,c8b8 b6d7 f8e7 d7b8
12501,3R3k/1p4pp/P7/4p3/4P3/1P5P/5qP1/7K b - - 1 30,f2f8 d8f8
12502,8/Bp2p2p/3k2p1/1P2p3/2P1K1P1/P1b5/8/8 b - - 2 30,c3a5 c4c5 d6c7 g4g5
12503,6k1/ppp2ppp/1r3q1P/3p4/5P2/P3rBQ1/1PP3P1/2KRR3 w - - 4 22,c2c3 e3c3 c1b1 c3c1 b1c1 f6b2
12504,6k1/5p1p/4p1p1/1p2b3/1qr5/4B1PP/1P2QP2/3R2K1 b - - 6 31,b4b3 e3h6 c4d4 e2e5 d4d1 g1h2
12505,6k1/6pp/p1N5/1p2p3/1P2r3/P2n2P1/7P/5R1K b - - 2 34,e4e3 c6e7 g8h8 f1f8
12506,8/Qbq3kp/1p1pB1p1/1P1Pp3/2n1N3/4r1P1/P6P/2R3K1 w - - 3 31,c1c4 c7c4 a7b7 g7h6 b7f7 e3e1 g1g2 c4e4
12507,r4rk1/1pRbq1b1/7p/3Pp2B/p2pP3/3P2Q1/PP5K/6R1 b - - 5 27,a8c8 d5d6 e7g5 g3g5 h6g5 c7d7
12508,8/p7/1p6/2pk2pP/4Rn2/2P5/6P1/7K w - - 1 55,h5h6 d5e4 h6h7 f4g6
12509,8/7p/p1Q4r/2p2pk1/2P1p3/4R1PB/5P1K/q7 w - - 10 45,c6c5 h6h3 h2h3 a1h1
12510,4r1k1/pR3pp1/q6p/4p3/3PQP2/8/6PP/rR5K w - - 3 28,d4e5 a6f1 b1f1 a1f1
12511,r2kr3/pb1pb3/1pp5/3nRQ2/2NP4/8/P3RP1P/6K1 w - - 1 33,c4d6 e8g8 g1h1 e7d6 e5d5 c6d5
12512,6k1/3P2p1/2P3rp/pP2q3/P3NR1K/8/5R2/8 w - - 11 55,e4g3 e5g5 h4h3 g5g3
12513,r2r2k1/5pp1/1pp1bP1p/1p1q4/5P2/1PPn4/P1BN2PP/R2Q1RK1 w - - 0 21,f6g7 d5c5 g1h1 d3f2 f1f2 c5f2
12514,8/1p1q1kpp/p4p2/4n3/8/4Q3/PP4PP/2R3K1 w - - 8 33,c1c3 d7d1 g1f2 e5g4 f2g3 g4e3
12515,4r2r/5Qpk/p2bB1N1/1p5p/6n1/6P1/PPPB1P1q/R3RK2 w - - 1 24,g6f8 h8f8 e6f5 h7h8 f7h5 h2h5
12516,3r2k1/ppp3p1/4p2p/5p2/5P2/2Q1B2P/PPb3P1/K2q2R1 w - - 5 34,g1d1 d8d1 e3c1 d1c1
12517,1r4k1/4pp2/p4np1/8/6P1/2qP3P/P1PQR3/1K1R4 w - - 1 31,b1c1 c3a1
12518,5r1k/r5pp/3p3P/2qB4/p1Pb1p2/3P1Q2/5P2/4RK1R b - - 0 34,g7g6 f3f4 a7a8 d5a8
12519,r7/1k3pp1/3b4/1BpP4/4p3/Q7/PP3Pq1/1K3R2 w - - 1 27,b5c6 b7c7 a3c3 g2f1
12520,4Q3/2k5/8/8/8/P4pP1/1r1K4/8 w - - 1 44,d2e3 b2e2 e3f3 e2e8
12521,1Kq5/7k/1P6/8/6p1/8/5p2/2R5 w - - 0 54,c1c8 f2f1q b6b7 g4g3
12522,1n2r1k1/rb5R/p7/5p2/1P3N1P/2P5/P1K1N1P1/4R3 w - - 3 36,h7c7 b7e4 c2b2 a7c7
12523,3r1rk1/1p4pp/p4q2/8/P2N1nb1/8/1B1Q2PP/R4RK1 w - - 0 22,f1f4 f6f4 d2f4 f8f4
12524,r3kb2/ppp5/1nnp2p1/1B2p3/4P3/2NPBPq1/PPP2N2/R2QK3 w Qq - 2 21,d1d2 g3g1 e1e2 g1a1
12525,3q1k2/pp3prp/3Q4/2p5/2r5/4R1P1/P4P1P/4R1K1 b - - 3 30,d8d6 e3e8
12526,1k5r/n1pQ2p1/p3P2p/1pb5/5P2/2N3Pq/PPP4P/R1B2R1K w - - 3 23,c3d5 h3f1
12527,4r2k/pp2q2r/2p1Q3/3p1P2/8/8/P4RPP/4R1K1 w - - 3 30,f2e2 e7c5 g1h1 e8e6
12528,4r2k/p5pp/3Qb3/5p2/1r6/2q5/P1P1RPPP/4R1K1 w - - 0 23,e2e6 c3e1 e6e1 e8e1
12529,8/pp6/2p1kp2/2P1p3/1P2P1K1/P2P4/8/8 b - - 0 43,b7b6 c5b6 a7b6 a3a4 b6b5 a4a5
12530,6rr/1pk5/p1n1b3/3n1ppp/2BP4/8/P1RQ1PPP/6K1 b - - 1 30,f5f4 c4d5 e6d5 d2a5 c7b8 a5d5
12531,4r3/p4pkp/1p2r3/2p5/5QN1/2P3Pq/PP3P2/5RK1 b - - 7 27,e6e1 f4f6 g7g8 g4h6 h3h6 f6h6
12532,2rq1rk1/7p/p4bp1/1p1pp2P/2n3Q1/1N1B1P2/PPP5/1K1R3R b - - 1 22,c4e3 g4e6
12533,5rk1/pRp3p1/7p/3b4/6Q1/6P1/P5qP/6RK w - - 0 30,g1g2 f8f1
12534,2k4r/ppp3N1/8/5p2/1P1n1P2/P5pP/2Pr2P1/2R2R1K w - - 1 21,c2c3 h8h3 g2h3 d2h2 h1g1 d4e2
12535,3r4/4qpkp/2Qp2p1/2p1r3/1p6/1P2P1P1/P2R1P1P/3R2K1 w - - 0 27,d2d6 e5e6 d6d8 e6c6
12536,7k/7p/5p2/4p3/4PqP1/7P/3r2Q1/R6K w - - 8 45,a1a8 h8g7 g2d2 f4d2
12537,8/6k1/R6p/3rN1p1/6P1/K7/8/8 w - - 1 63,e5f3 d5d3 a3b2 d3f3
12538,3k3r/2r3p1/p2b1p1p/1p3B2/5p1B/1P1p3P/P1P2Q1P/6K1 w - - 6 34,f5d3 d6c5 f2c5 c7c5
12539,7r/7p/p3p2P/2p2p2/k1Pb1P2/6R1/2N2P1K/8 b - - 1 36,d4f2 g3a3
12540,1k1r2nr/ppp1p2q/n4p2/3N2bP/2P3B1/3P2B1/PP3PP1/R2Q1RK1 w - - 3 20,d5e7 g8e7
12541,6k1/pp6/2p3p1/3p3P/3b3Q/5r2/PP2q2P/R4R1K w - - 0 28,f1f3 e2f3
12542,7k/p2Br1p1/1q5p/8/5Q2/8/PP2RpPP/6K1 w - - 0 32,f4f2 e7e2 f2b6 a7b6
12543,6k1/1p3ppp/p1n5/3r1q2/PPBb4/3P4/2P4B/1R1Q3K w - - 0 22,c4d5 f5d5 d1f3 d5f3
12544,1r1b4/R3nppk/4p1b1/1Np1P1B1/1nPp3p/3P1N1P/4BPP1/6K1 b - - 4 35,g6d3 e2d3 b4d3 g5e7 d8e7 a7e7
12545,r4r1k/pp1n1p1P/2p1p3/4P3/4B3/3RKQ2/q4P2/7R b - - 2 25,d7e5 f3f6
12546,3r2k1/Qp3ppp/3Bb3/8/1Pr5/2q5/5PPP/3RR1K1 b - - 0 21,e6d5 a7a5 c4c8 a5d5
12547,6k1/2pn1pp1/3pp2p/1pPn2q1/1P1Pb3/6P1/rB1QPP1P/3RNBK1 w - - 0 22,f2f3 g5e3 d2e3 d5e3
12548,r5r1/1p2bk1p/p1qp3B/4nP2/P3P3/8/1PP1Q1PP/R4RK1 b - - 0 20,e7g5 e2h5 f7f6 h6g5 g8g5 h5h6 f6f7 h6g5
12549,8/p1R2k1p/8/7q/4p3/PP2P3/K1RB4/6r1 b - - 4 41,f7e6 c2c6 e6d5 c6c5
12550,2Q5/5pk1/3N2p1/8/1p2P3/1Pq3P1/5PK1/4b3 b - - 6 36,c3b3 d6e8 g7g8 e8f6
12551,2kr3r/1b3pbp/1P2p1p1/3p4/P4PPP/2PpP3/3N3R/R3K3 b Q - 0 21,g7c3 a1c1 d5d4 e3d4 c8b8 c1c3
12552,Rnk3rr/1p1qn3/1Ppb4/3p3b/Q2P2pp/BNP2p2/2N1BPPP/5RK1 w - - 0 26,e2d3 g4g3 h2g3 f3g2
12553,8/ppp2pkp/5n2/2P5/3Q1P1q/7b/PPB2R1K/R7 w - - 5 26,a1g1 h3g4 h2g2 h4h3
12554,8/8/3k1p2/pr3Pp1/2RKP2p/7P/6P1/8 w - - 6 47,c4a4 b5b4 a4b4 a5b4
12555,8/8/4p3/4k2p/5p1P/P3pK2/1r3r2/4RR2 w - - 0 41,f1f2 b2f2
12556,8/4R3/8/2P5/4n3/3k3P/4p1PK/N7 w - - 2 45,e7d7 d3c3 c5c6 e2e1q c6c7 e1g3
12557,8/8/1R2p2p/1N1pPkp1/3P4/4Pn2/1r6/3K4 b - - 0 37,h6h5 b5d6 f5g6 b6b2
12558,r3r2k/1p1b3P/p1q5/8/2B1p2Q/2P3P1/PP3P2/1K5R b - - 1 26,d7e6 h4f6
12559,6k1/1p3pp1/1q1r2bp/p3Q3/P3B3/1nP5/1P3PPP/R3R1K1 b - - 0 22,g6e4 e5e8 g8h7 e8e4
12560,4Q3/1R3ppk/3p1b1p/2qB4/2P1P3/5P1P/P4nP1/6K1 w - - 1 35,g1h2 f6e5 e8e5 d6e5
12561,R4bk1/5pp1/3Np1n1/4P2r/7p/1N3P1b/Pr3P1B/4R1K1 w - - 5 30,f3f4 g6e5 f4e5 h5g5 h2g3 h4g3
12562,4r3/Q3R3/p1kn1p2/8/P1p5/1r3KP1/8/8 w - - 3 50,f3g2 e8e7 a7e7 c4c3 e7e3 c3c2 e3b3 c2c1q
12563,5rk1/1Q3ppp/5n2/8/2Bp4/3P4/2q2PPP/1R5K b - - 2 26,f6g4 b7f7 f8f7 b1b8
12564,r6r/3k1p2/Pq2p2p/1PbpPnp1/8/5Q1P/3B1PP1/1RR3K1 b - - 4 31,h8h7 d2a5 b6a5 c1c5
12565,5rk1/1p2qrb1/5nQR/3p3R/p2P3P/P4P2/1PP3P1/2KN4 b - - 15 32,f6h5 g6h7
12566,3r2k1/4rppp/8/1pPp1q2/pP1N2nn/P3P3/1B1K1P2/R2QR3 b - - 7 28,f5e4 f2f3 h4f3 d1f3 e4f3 d4f3
12567,5k2/p3ppq1/3p2p1/Q2Pn3/8/7R/6PP/1r3BK1 b - - 5 34,g7f6 a5d8 f8g7 d8h8
12568,8/8/3pBkn1/2pP4/1pP1PK2/1P6/8/8 w - - 0 54,f4g4 g6e5 g4f4 e5d3 f4f3 d3c1
12569,8/2p4r/1p6/3RpP2/P5Pp/5k1K/P7/8 b - - 0 48,e5e4 f5f6 e4e3 d5f5
12570,8/p1p5/8/8/2BPK3/2P5/1k3p2/8 w - - 0 48,d4d5 a7a5 e4d4 a5a4 d5d6 c7d6
12571,2rr2k1/5pq1/p3p1p1/1B4Q1/8/1P3P2/6P1/3RR2K b - - 0 33,a6b5 d1d8 c8d8 g5d8
12572,1k1rr3/1p5p/p3Qp1p/2Pp2q1/1PbP4/2N3P1/P4P1P/R3R1K1 w - - 5 26,e6h3 e8e1 a1e1 g5d2 h3e6 d2c3
12573,q7/P3rpkp/2Pp2p1/8/8/4P3/5PPP/R1R3K1 b - - 0 27,e7a7 a1a7 a8a7 c6c7
12574,5r2/4bkpQ/p2p1q2/1p2p1B1/2n1P3/PN6/2P1KP2/6R1 b - - 13 32,f6g6 h7g6 f7g6 g5e7
12575,8/kb4q1/pQ6/P1p1p3/1pP1P1B1/7P/1r6/4R2K b - - 5 37,a7b8 e1d1 g7c7 d1d8 c7d8 b6d8
12576,R7/5k2/p3rp2/1p3Kp1/1P3PPp/P6P/8/8 b - - 2 39,g5f4 a8a7 e6e7 a7e7
12577,r4rk1/1p2bp1p/2p1q1pP/p3p3/4N3/P3P1Q1/1PP3P1/2KR3R b - - 1 22,e6a2 g3e5 f7f6 e5e7
12578,r7/8/7p/Pp2kpp1/1P6/1R1RKP1P/2r3P1/8 w - - 1 40,g2g3 f5f4 g3f4 g5f4
12579,8/5p2/4k3/P1R1P1p1/1P2K1Pp/2P4P/8/r7 w - - 5 57,c5d5 a1e1 e4d4 e1d1 d4c4 d1d5
12580,2rq1rk1/1b4p1/7p/1p3p1P/2nP4/3B1N2/4QPP1/2R1R1K1 w - - 0 23,d3f5 f8f5 e2e6 f5f7
12581,8/p6p/4k1p1/5p2/1n1K4/4PBPP/P7/8 b - - 9 33,b4a2 f3d5 e6f6 d5a2
12582,8/5pp1/pp3k1p/8/2q3P1/4PQ2/P4P2/6K1 b - - 3 38,f6g5 f3f5 g5h4 f5h5
12583,8/6pp/p1b5/1p3N2/1Pk1pP2/P3K1P1/7P/8 b - - 0 38,c4b3 f5d4 b3a3 d4c6
12584,2R2Nk1/pp3pp1/4p3/5r2/P7/1P5P/3p1qPK/1Q6 w - - 0 33,c8d8 f2f4 h2h1 f4f1 b1f1 f5f1
12585,5r1k/R3Q3/6Kp/2p2qp1/8/3P2P1/4P2P/8 w - - 4 41,g6h6 f8f6 e7f6 f5f6
12586,8/3N2bp/p3p1pk/2Q5/b7/1p3NP1/5PKP/2q5 b - - 3 32,b3b2 c5e7 c1f1 g2f1 b2b1q f1g2 b1f5 e7h4
12587,1r2r3/6qk/4Pppp/1b1p4/5P1P/1PR3Q1/6P1/4R2K b - - 4 40,g7e7 f4f5 b8c8 g3g6
12588,6R1/1r1kbR2/3pp1p1/2n4p/4P2P/4PPK1/8/8 b - - 2 38,c5d3 f7e7 d7e7 g8g7 e7f6 g7b7
12589,r2b4/6kp/p3Qp2/7R/4PP2/2P5/1qBr2PP/2R4K w - - 0 32,c1b1 b2b1 c2b1 d2d1
12590,3r4/p1p1k1Q1/1pn1q2p/8/5p2/P7/1PP2PPP/3R2K1 b - - 2 25,e6f7 d1e1 e7d7 g7f7
12591,BB3rk1/p3n1pp/2p3b1/8/2Pq1Pp1/1P6/P2P3P/RN1QR1K1 w - - 1 21,g1h1 g6e4 e1e4 d4e4
12592,4r1kr/p2nP3/2Q4p/1p1p1R2/3P3q/8/PP3PP1/5RK1 b - - 1 31,h4e7 c6g6 e7g7 g6e8
12593,2r3k1/p4pp1/1p2p2p/4P3/2b5/5P2/PPB2KPP/2R5 b - - 0 26,c4a2 c2h7 g8h7 c1c8
12594,3r3r/ppp2k2/1n2p2p/3q2p1/1P1R1p2/2P5/P1QB1PPP/3R2K1 b - - 15 34,d5e5 d2f4 g5f4 d4d8 h8d8 c2h7 e5g7 h7g7 f7g7 d1d8
12595,6k1/6pp/p7/4n3/1P1N1p2/P7/2r1p1PP/4R2K b - - 3 38,e5d3 d4c2 d3e1 c2e1
12596,3k4/p2n2p1/1p1R1n2/5r2/2BB4/2P4P/P2K4/8 w - - 3 35,c4e6 f6e4 d2d3 e4d6 e6f5 d6f5
12597,1r3k2/p4p2/1q2p1p1/3p2P1/1P1P4/2p1P3/2K4Q/3B3R w - - 1 33,c2c3 b6b4 c3d3 b4c4 d3d2 b8b2
12598,b1r2rk1/2p2pp1/p4q1p/1p3N2/6Q1/8/P1P2PPP/1R2R1K1 b - - 3 21,c7c5 f5e7 g8h7 e7c8
12599,6r1/p1k2p2/4p1p1/2ppP3/P5P1/5P2/P5KP/1R6 b - - 3 32,g8b8 b1b8 c7b8 h2h4
12600,1r4k1/p4ppp/2Q1p3/1BPp1b2/3P4/P3P2P/1K3PP1/4q2R b - - 1 21,b8b5 c6b5 e1f2 b2a1
12601,1r1r2k1/5pp1/5b1p/1q1Pp3/1P6/1QP2N2/6PP/R3R2K w - - 1 27,a1a5 b5a5 b4a5 b8b3
12602,8/1p1kp3/p1p1p1q1/3pP2n/PP1P1Rp1/2P3Pp/4Q2P/6K1 w - - 10 40,e2g4 h5f4 g4g6 f4g6
12603,rr4k1/6pp/3p4/2bPp3/PPP5/2K5/R5PP/1R6 b - - 8 31,g8f7 b1f1 f7e7 b4c5
12604,8/pR5R/6p1/5p2/5Pk1/4P3/1P4P1/q1r2NK1 w - - 1 35,b7g7 c1f1 g1h2 f1h1
12605,2r3k1/5ppp/Q2p1b2/1p2p3/1P2q3/8/6RP/7K b - - 3 33,e4b4 a6c8 f6d8 c8d8
12606,8/5pkp/4n1p1/P1R5/4K3/2P5/1P6/8 w - - 3 39,a5a6 e6c5
12607,8/5r2/2p1kn1p/1p5K/p7/P4R2/1P3R1P/8 w - - 0 49,h5h6 f6g4 h6g5 g4f2
12608,2r4k/7p/4Q1p1/8/5p2/1B6/1q4KP/3R4 w - - 2 39,g2h3 c8c3 h3h4 b2h2 h4g5 c3g3 g5f6 h2b2 e6e5 b2e5 f6e5 g3b3
12609,8/8/7P/6B1/1k2r3/6K1/2p5/8 b - - 4 51,e4e7 g5e7 b4b3 e7g5 c2c1q g5c1
12610,1k1r2QN/pp6/3q2p1/5p2/3Pn3/P3P1Pp/1P3P2/2RR3K w - - 4 27,g8g6 d6d5 f2f3 e4f2
12611,8/8/1K3k2/p2BNp2/P4P2/2r1P1p1/8/8 w - - 3 43,b6a5 c3c5 a5b6 c5d5
